envelope_id,qualification_id,point_no,delta_p_mpa,n_allowed,temperature_c,wall_state,governing_location,governing_component,method_revision
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,1,5.00,10000000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,2,10.00,4500000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,3,15.00,1200000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,4,18.00,450000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,5,20.00,280000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,6,25.00,95000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS4,QUAL-PIPE-NPS4-SCH160,7,30.00,32000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS4-SCH160,1.0.0
ENV-HP-PIPE-NPS2,QUAL-PIPE-NPS2-SCH160,1,10.00,8000000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS2-SCH160,1.0.0
ENV-HP-PIPE-NPS2,QUAL-PIPE-NPS2-SCH160,2,20.00,650000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS2-SCH160,1.0.0
ENV-HP-PIPE-NPS2,QUAL-PIPE-NPS2-SCH160,3,25.00,180000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS2-SCH160,1.0.0
ENV-HP-PIPE-NPS2,QUAL-PIPE-NPS2-SCH160,4,30.00,55000.0,200.0,EOL_NET,BORE_INNER_SURFACE,COMP-PIPE-NPS2-SCH160,1.0.0
ENV-HP-ELB-NPS4,QUAL-ELB90-NPS4-SCH160,1,10.00,2200000.0,200.0,EOL_NET,INTRADOS_SURFACE,COMP-ELB-90-NPS4-SCH160,1.0.0
ENV-HP-ELB-NPS4,QUAL-ELB90-NPS4-SCH160,2,18.00,180000.0,200.0,EOL_NET,INTRADOS_SURFACE,COMP-ELB-90-NPS4-SCH160,1.0.0
ENV-HP-ELB-NPS4,QUAL-ELB90-NPS4-SCH160,3,25.00,35000.0,200.0,EOL_NET,INTRADOS_SURFACE,COMP-ELB-90-NPS4-SCH160,1.0.0
