fatigue_curve_id,point_no,n_cycles,sa_mpa,source_locator,verified_by,verified_at
TEST-SYNTH-CURVE-001,1,1000.0,200.00,Benchmark Class D Specification Table,QA_AUDITOR,2026-08-15T00:00:00Z
TEST-SYNTH-CURVE-001,2,10000.0,100.00,Benchmark Class D Specification Table,QA_AUDITOR,2026-08-15T00:00:00Z
TEST-SYNTH-CURVE-001,3,100000.0,50.00,Benchmark Class D Specification Table,QA_AUDITOR,2026-08-15T00:00:00Z
VIII3-KD3-CS-001,1,10.0,3999.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-CS-001,2,100.0,1750.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-CS-001,3,1000.0,834.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-CS-001,4,10000.0,415.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-CS-001,5,100000.0,215.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-CS-001,6,1000000.0,115.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-CS-001,7,10000000.0,85.00,ASME VIII-3 Table KD-320.1 Carbon Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,1,10.0,4500.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,2,100.0,1950.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,3,1000.0,910.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,4,10000.0,450.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,5,100000.0,240.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,6,1000000.0,135.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
VIII3-KD3-SS-001,7,10000000.0,105.00,ASME VIII-3 Table KD-320.2 Stainless Steel,LEAD_PE,2026-01-20T10:30:00Z
